NU_ANO_CENSO,QT_MAT,QT_ING,QT_CONC,EVASAO_PUBLICA,RETENCAO_PUBLICA,SUCESSO_PUBLICA,EVASAO_PRIVADA,RETENCAO_PRIVADA,SUCESSO_PRIVADA,EVASAO_NAO INFORMADA,RETENCAO_NAO INFORMADA,SUCESSO_NAO INFORMADA,CENTRO,EVASAO_ETNICO,RETENCAO_ETNICO,SUCESSO_ETNICO,EVASAO_REDE PUBLICA,RETENCAO_REDE PUBLICA,SUCESSO_REDE PUBLICA,EVASAO_SOCIAL,RETENCAO_SOCIAL,SUCESSO_SOCIAL,EVASAO_AMPLA,RETENCAO_AMPLA,SUCESSO_AMPLA,EVASAO_BRANCA,RETENCAO_BRANCA,SUCESSO_BRANCA,EVASAO_PRETA,RETENCAO_PRETA,SUCESSO_PRETA,EVASAO_PARDA,RETENCAO_PARDA,SUCESSO_PARDA,EVASAO_MASCULINO,RETENCAO_MASCULINO,SUCESSO_MASCULINO,EVASAO_FEMININO,RETENCAO_FEMININO,SUCESSO_FEMININO,EVASAO,RETENCAO,SUCESSO
2018,501.0,146.0,53.0,18.275892659126193,58.730770201742565,28.20114157649613,11.870323868392248,57.057336208663195,36.49146152140163,12.161391502708868,,19.161676646706585,CAXIAS,19.30946959200312,57.399745962620216,18.967260284625553,17.81964058516217,57.6778143523559,27.37328373555918,21.080133639530974,47.51887529289248,28.52035060314154,12.308715901530274,52.492588102595086,42.24883566200931,4.413602701139776,28.192594403030668,70.91246079270032,7.937067042385816,82.11989482573316,11.626746506986027,14.134593132575427,51.59110350727117,41.448214681747615,15.873236914874568,57.5981370592149,37.90419161676647,16.041575702057695,59.08666207515878,33.89023112077004,13.86861770439,57.531813537531,36.33883301112311
2019,540.0,158.0,58.0,19.825376832541814,61.5666559231259,30.20192508893074,8.172530206112295,40.528626305680525,49.77913279132791,25.0,,,CAXIAS,18.567688378033207,73.9411944792859,18.00766283524904,20.608465608465607,61.537744555186414,29.865079365079364,18.787878787878785,76.50478225478226,17.950854700854702,10.357927097057534,42.354733091035364,48.960317460317455,10.605435156518746,25.725232621784347,72.41379310344827,26.21539961013645,47.27272727272727,35.27777777777778,10.956613756613756,74.96010611162127,23.232323232323232,13.232181761593525,42.11538461538461,51.62393162393162,14.698067632850243,59.16205127964916,33.461007591442375,14.611408920732162,51.9325085084329,39.41269841269841
2020,552.0,161.0,73.0,21.814650987161507,16.81661092530658,76.28539576365664,16.459111859960906,18.028689736764274,77.0910973084886,13.043478260869565,,,CAXIAS,22.013729977116704,25.017540832758222,62.814872325741895,20.936674140335466,22.876496534341527,70.16068052930055,17.94871794871795,9.894253454668013,77.14371980676329,16.91605601693535,15.487385547204633,79.15458937198069,6.756987359978547,7.809983896940419,92.19001610305959,5.148741418764302,39.221014492753625,43.29710144927536,19.733389033495076,14.525269416573765,83.55629877369007,23.60448428383211,34.16161133552438,59.468430120604026,15.985162180814356,12.291919055951901,81.74047651097052,18.589903612786905,19.5406061838913,74.72299311337238
2021,578.0,160.0,48.0,13.856907633175634,74.57861843435563,20.65216507034309,10.841825417949986,43.88720535102362,48.760092272203,5.449826989619377,66.60899653979239,,CAXIAS,17.088241322353905,80.46436367449265,15.190835692565797,12.864799818468311,75.54187419424272,19.999904939351303,12.799810723686155,83.45759484256837,13.308490817141337,12.214646826891752,48.043566513309536,45.03130664030318,0.5190311418685121,50.5250865051903,47.21020761245675,12.799094538189987,64.76355247981544,32.81430219146482,16.764705882352942,55.47413549986635,37.31076989619377,13.824861740800918,60.121765865055096,32.98104075457613,12.883779545966622,62.52102312031042,31.698215618427298,12.75051276832266,61.85768867702179,32.35839906625193
2022,529.0,128.0,64.0,22.58792762266671,52.90313662773817,37.376953295767336,25.201068925987506,43.772625033601976,53.70598320657669,51.370510396975426,,,CAXIAS,23.00197161895149,58.585315855049586,32.986622296946095,22.272792349480483,53.24262891046718,37.03567421125522,21.285494778767326,59.63846880907372,34.72747321991178,25.780519351308328,42.019058963668854,54.53686200378072,21.331583488667725,13.019533711405169,79.92018483511868,11.111636210880068,30.85457271364318,61.09640831758034,26.116324092527808,66.15182302697714,30.0,24.53649936724574,53.676604322457116,39.952605349083306,23.818090911083583,48.17388184475231,47.56997377888896,23.500509718750084,47.12841948590922,45.88468809073724
2010,3136.0,1033.0,58.0,,,,,,,,,,EAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,3257.0,1089.0,77.0,,,,,,,30.195442660840925,,,EAD,,,,,,,,,,30.195442660840925,,,25.06748395083765,,,23.529424408490165,,,22.75715233656459,,,30.39209825623139,,,29.330192790322904,,,30.195442660840925,,
2012,3005.0,1342.0,57.0,93.44425956738769,,,,,,47.56462828024098,,,EAD,,,,,,,,,,47.65813076772986,,,34.82251648774938,,,23.927185873007353,,,35.378031801711636,,,52.07609459609595,,,46.354763692093414,,,47.65813076772986,,
2013,3127.0,1452.0,66.0,70.8944629504103,,,,,,32.23581174199881,,,EAD,,,,,,,,,,43.12934881394972,,,27.921203524142925,,,17.57954459707585,,,24.16455807464509,,,44.65111538614416,,,44.13933068547047,,,43.12934881394972,,
2014,2871.0,974.0,97.0,57.64159212435075,,,56.15074131685642,,,26.21063522555239,,,EAD,,,,,,,,,,37.79226831044042,,,23.661923352702964,,,29.22593075472301,,,21.03216760713109,,,40.6580776693914,,,37.32121703909803,,,37.79226831044042,,
