,CO_CURSO,NO_CURSO,ANO_INGRESSO,ANO_REFERENCIA,QT_INGRESSANTES,QT_PERMANENCIA,QT_CONCLUINTES,QT_DESISTENTES,TAP,TCA,TDA,TCAN,TADA,DURACAO,ANO_INTEGRALIZACAO
98,14357,COMUNICAÇÃO SOCIAL (EXCETO JORNALISMO) 2010 2021,2013,2016,386,114,10,5,62.821535395,5.8800265860000005,31.29843801925,5.4562977735,3.40412097025,5,2017
99,14357,COMUNICAÇÃO SOCIAL (EXCETO JORNALISMO) 2010 2021,2013,2017,386,81,31,2,46.378531075,21.409106015,32.21236291075,15.52907943,0.913924892,5,2017
100,14357,COMUNICAÇÃO SOCIAL (EXCETO JORNALISMO) 2010 2021,2013,2018,386,47,31,3,26.6969092725,39.686606845,33.61648388175,18.27750083,1.4041209702500002,5,2017
101,14357,COMUNICAÇÃO SOCIAL (EXCETO JORNALISMO) 2010 2021,2013,2019,386,29,13,5,16.67630442,46.81289465,36.51080093025,7.1262878042499995,2.89431704875,5,2017
102,14357,COMUNICAÇÃO SOCIAL (EXCETO JORNALISMO) 2010 2021,2013,2020,386,20,9,0,10.358258557500001,53.130940512500004,36.51080093025,6.31804586225,0.0,5,2017
103,14357,COMUNICAÇÃO SOCIAL (EXCETO JORNALISMO) 2010 2021,2013,2021,386,19,1,0,9.868062479999999,53.62113659,36.51080093025,0.4901960785,0.0,5,2017
104,14357,COMUNICAÇÃO SOCIAL (EXCETO JORNALISMO) 2010 2021,2014,2014,282,132,110,40,46.546231543333334,39.57459207333333,13.879176379999999,39.57459207333333,13.879176379999999,5,2018
105,14357,COMUNICAÇÃO SOCIAL (EXCETO JORNALISMO) 2010 2021,2014,2015,282,126,3,3,43.63636363333333,40.48109298,15.882543383333333,0.9065009063333335,2.003367003333333,5,2018
106,14357,COMUNICAÇÃO SOCIAL (EXCETO JORNALISMO) 2010 2021,2014,2016,282,121,1,4,41.76702926666667,40.71419321333334,17.518777516666667,0.23310023300000002,1.6362341363333333,5,2018
107,14357,COMUNICAÇÃO SOCIAL (EXCETO JORNALISMO) 2010 2021,2014,2017,282,105,13,3,35.325692823333334,46.35262885,18.32167832,5.638435638333333,0.802900803,5,2018
108,14357,COMUNICAÇÃO SOCIAL (EXCETO JORNALISMO) 2010 2021,2014,2018,282,63,37,5,20.794483293333332,58.41427091666666,20.79124579,12.061642060000002,2.4695674696666665,5,2018
109,14357,COMUNICAÇÃO SOCIAL (EXCETO JORNALISMO) 2010 2021,2014,2019,282,33,27,3,11.854441854000001,66.65501165666667,21.49054649,8.240740740333335,0.6993006993333334,5,2018
110,14357,COMUNICAÇÃO SOCIAL (EXCETO JORNALISMO) 2010 2021,2014,2020,282,21,12,0,8.228438228333333,70.28101528333333,21.49054649,3.6260036260000006,0.0,5,2018
111,14357,COMUNICAÇÃO SOCIAL (EXCETO JORNALISMO) 2010 2021,2014,2021,282,17,4,0,6.592204092333334,71.91724941666666,21.49054649,1.6362341363333333,0.0,5,2018
