CO_CURSO,NO_CURSO,ANO_INGRESSO,ANO_REFERENCIA,DURACAO,ANO_INTEGRALIZACAO,QT_INGRESSANTES,QT_PERMANENCIA,QT_CONCLUINTES,QT_DESISTENTES,TAP,TCA,TDA,TCAN,TADA
14330,ESTATÍSTICA,2017,2021,5,2021,20,7,0,0,35.0,5.0,60.0,0.0,0.0
14331,CIÊNCIAS ATUARIAIS,2017,2017,5,2021,29,28,0,1,96.55172414,0.0,3.448275862,0.0,3.448275862
14331,CIÊNCIAS ATUARIAIS,2017,2018,5,2021,29,22,0,6,75.86206897,0.0,24.13793103,0.0,20.68965517
14331,CIÊNCIAS ATUARIAIS,2017,2019,5,2021,29,19,0,3,65.51724138,0.0,34.48275862,0.0,10.34482759
14331,CIÊNCIAS ATUARIAIS,2017,2020,5,2021,29,18,0,1,62.06896552,0.0,37.93103448,0.0,3.448275862
14331,CIÊNCIAS ATUARIAIS,2017,2021,5,2021,29,17,0,1,58.62068966,0.0,41.37931034,0.0,3.448275862
14332,QUÍMICA - ATRIBUIÇÔES TECNOLÓGICAS,2017,2017,6,2022,53,47,0,6,88.67924528,0.0,11.32075472,0.0,11.32075472
14332,QUÍMICA - ATRIBUIÇÔES TECNOLÓGICAS,2017,2018,6,2022,53,43,0,4,81.13207547,0.0,18.86792453,0.0,7.547169811
14332,QUÍMICA - ATRIBUIÇÔES TECNOLÓGICAS,2017,2019,6,2022,53,39,1,3,73.58490566,1.886792453,24.52830189,1.886792453,5.660377358
14332,QUÍMICA - ATRIBUIÇÔES TECNOLÓGICAS,2017,2020,6,2022,53,35,1,3,66.03773585,3.773584906,30.18867925,1.886792453,5.660377358
14332,QUÍMICA - ATRIBUIÇÔES TECNOLÓGICAS,2017,2021,6,2022,53,35,0,0,66.03773585,3.773584906,30.18867925,0.0,0.0
14333,ARQUITETURA E URBANISMO,2017,2017,5,2021,240,230,0,10,95.83333333,0.0,4.166666667,0.0,4.166666667
14333,ARQUITETURA E URBANISMO,2017,2018,5,2021,240,223,0,7,92.91666667,0.0,7.083333333,0.0,2.916666667
14333,ARQUITETURA E URBANISMO,2017,2019,5,2021,240,218,0,5,90.83333333,0.0,9.166666667,0.0,2.083333333
14333,ARQUITETURA E URBANISMO,2017,2020,5,2021,240,211,0,7,87.91666667,0.0,12.08333333,0.0,2.916666667
14333,ARQUITETURA E URBANISMO,2017,2021,5,2021,240,210,1,0,87.5,0.416666667,12.08333333,0.416666667,0.0
